location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Syracuse,02/01/2014 12:00:00 AM,0,0,0,0
Tegucigalpa,02/01/2014 12:00:00 AM,0,0,0,0
Tallahassee,02/01/2014 12:00:00 AM,0,0,0.01,0
Tampa,02/01/2014 12:00:00 AM,0.05,0,0.35,0
Tulsa,02/01/2014 12:00:00 AM,0,0,0,0
Knoxville,02/01/2014 12:00:00 AM,0,0,0,0
Quito,02/01/2014 12:00:00 AM,0,0,0.01,0
"Valencia, VE",02/01/2014 12:00:00 AM,0.07,0.01,0.18,0
Springdale,02/01/2014 12:00:00 AM,0,0,0,0
Ottawa,02/01/2014 12:00:00 AM,0,0,0,0
Quebec City,02/01/2014 12:00:00 AM,0,0,0,0
Toronto,02/01/2014 12:00:00 AM,0,0,0,0
Montreal,02/01/2014 12:00:00 AM,0,0,0,0
French Guiana,02/01/2014 12:00:00 AM,1,1,1,1
Atlantic City,03/01/2014 12:00:00 AM,0,0,0,0
Buenos Aires,03/01/2014 12:00:00 AM,0.04,0,0.25,0
Antigua,03/01/2014 12:00:00 AM,0.87,0.09,1,0
Anguilla,03/01/2014 12:00:00 AM,1,1,1,1
Phoenix,03/01/2014 12:00:00 AM,0.07,0,0.67,0
Barranquilla,03/01/2014 12:00:00 AM,0,0,0.01,0
Hartford,03/01/2014 12:00:00 AM,0,0,0,0
Belem,03/01/2014 12:00:00 AM,0.01,0,0.02,0
"Birmingham, US",03/01/2014 12:00:00 AM,0,0,0.05,0
Nashville,03/01/2014 12:00:00 AM,0,0,0.03,0
Bogota,03/01/2014 12:00:00 AM,0.02,0,0.16,0
Boston,03/01/2014 12:00:00 AM,0,0,0,0
Buffalo,03/01/2014 12:00:00 AM,0,0,0,0
Baltimore,03/01/2014 12:00:00 AM,0,0,0,0
Belize,03/01/2014 12:00:00 AM,0,0,0,0
Akron,03/01/2014 12:00:00 AM,0,0,0,0
Cleveland,03/01/2014 12:00:00 AM,0,0,0,0
Cali,03/01/2014 12:00:00 AM,0.04,0,0.19,0
"Columbus, OH, US",03/01/2014 12:00:00 AM,0,0,0,0
Belo Horizonte,03/01/2014 12:00:00 AM,0.02,0,0.1,0
"Cordoba, AR",03/01/2014 12:00:00 AM,0.03,0,0.1,0
Cartagena,03/01/2014 12:00:00 AM,0.03,0,0.07,0
Cumana,03/01/2014 12:00:00 AM,0,0,0,0
Cancun,03/01/2014 12:00:00 AM,0.06,0,0.14,0
Cincinnati,03/01/2014 12:00:00 AM,0,0,0,0
